Dataset Name,Sheets,Rows,Columns,File Size (KB),File Path
analysis.xlsx,Analysis,21,6,9.9736328125,c:\Users\polai\OneDrive\Desktop\N100 FINANCIAL INTELLIGENCE PLATFORM\nifty100-financial-intelligence-platform\data\raw\analysis.xlsx
cashflow.xlsx,Cash Flow,1188,7,52.6123046875,c:\Users\polai\OneDrive\Desktop\N100 FINANCIAL INTELLIGENCE PLATFORM\nifty100-financial-intelligence-platform\data\raw\cashflow.xlsx
companies.xlsx,Companies,93,12,25.4619140625,c:\Users\polai\OneDrive\Desktop\N100 FINANCIAL INTELLIGENCE PLATFORM\nifty100-financial-intelligence-platform\data\raw\companies.xlsx
documents.xlsx,Documents,1586,4,49.404296875,c:\Users\polai\OneDrive\Desktop\N100 FINANCIAL INTELLIGENCE PLATFORM\nifty100-financial-intelligence-platform\data\raw\documents.xlsx
profitandloss.xlsx,Profit & Loss,1277,15,104.833984375,c:\Users\polai\OneDrive\Desktop\N100 FINANCIAL INTELLIGENCE PLATFORM\nifty100-financial-intelligence-platform\data\raw\profitandloss.xlsx
prosandcons.xlsx,Pros & Cons,17,4,6.099609375,c:\Users\polai\OneDrive\Desktop\N100 FINANCIAL INTELLIGENCE PLATFORM\nifty100-financial-intelligence-platform\data\raw\prosandcons.xlsx
